ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10304,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies II","",Open,179,180,0
10309,AAS,1020,101,Discussion,"0","Gillet Rosenblith","Tu 6:00PM - 6:50PM","New Cabell Hall 407","Introduction to African-American and African Studies II","",Closed,21,20,0
10308,AAS,1020,102,Discussion,"0","Gillet Rosenblith","Tu 5:00PM - 5:50PM","Wilson Hall 244","Introduction to African-American and African Studies II","",Closed,20,20,0
10307,AAS,1020,103,Discussion,"0","Christopher Mathis","We 5:00PM - 5:50PM","New Cabell Hall 168","Introduction to African-American and African Studies II","",Closed,22,20,0
10306,AAS,1020,104,Discussion,"0","Christopher Mathis","We 7:00PM - 7:50PM","New Cabell Hall 283","Introduction to African-American and African Studies II","",Closed,21,20,0
10310,AAS,1020,105,Discussion,"0","Gillet Rosenblith","Tu 7:00PM - 7:50PM","New Cabell Hall 044","Introduction to African-American and African Studies II","",Open,17,20,0
10305,AAS,1020,106,Discussion,"0","Christopher Mathis","We 6:00PM - 6:50PM","New Cabell Hall 283","Introduction to African-American and African Studies II","",Closed,20,20,0
18292,AAS,1020,107,Discussion,"0","Diane-Jo Bart-Plange","Tu 4:00PM - 4:50PM","New Cabell Hall 191","Introduction to African-American and African Studies II","",Open,19,20,0
18293,AAS,1020,108,Discussion,"0","Diane-Jo Bart-Plange","Tu 5:00PM - 5:50PM","New Cabell Hall 183","Introduction to African-American and African Studies II","",Open,19,20,0
18294,AAS,1020,109,Discussion,"0","Diane-Jo Bart-Plange","Tu 6:00PM - 6:50PM","New Cabell Hall 183","Introduction to African-American and African Studies II","",Closed,20,20,0
12324,AAS,2224,001,Seminar,"3","Lisa Shutt","TuTh 9:30AM - 10:45AM","Maury Hall 104","Black Femininities and Masculinities in the US Media","",Open,44,45,0
12593,AAS,2224,002,Seminar,"3","Lisa Shutt","TuTh 11:00AM - 12:15PM","Maury Hall 115","Black Femininities and Masculinities in the US Media","",Closed,45,45,0
18296,AAS,2559,002,Seminar,"3","Anne Rotich","MoWeFr 1:00PM - 1:50PM","Ruffner Hall 139","New Course in African and African American Studies","Intro to African Languages&Lit",Open,13,30,0
20314,AAS,2559,003,Seminar,"3","Tony Perry","We 6:00PM - 8:30PM","New Cabell Hall 132","New Course in African and African American Studies","Slavery in Music, Comedy, Art",Open,15,20,0
18297,AAS,2740,001,Seminar,"3","Lisa Shutt","We 2:00PM - 4:30PM","New Cabell Hall 315","Peoples and Cultures of Africa","",Closed,24,24,0
